90.00,0.00,90.00,0.00,23
90.00,0.00,90.00,180.09,27
90.00,0.00,90.00,180.18,56
90.00,0.00,90.00,180.27,84
90.00,0.00,90.00,180.36,113
90.00,0.00,90.00,180.45,144
90.00,0.00,90.00,180.54,174
90.00,0.00,90.00,180.63,204
90.00,10.00,80.00,180.72,235
90.00,10.00,80.00,160.80,267
90.00,10.00,80.00,160.88,297
90.00,10.00,80.00,160.96,329
90.00,20.00,70.00,161.04,360
90.00,20.00,70.00,141.11,392
90.00,20.00,70.00,141.18,422
90.00,20.00,70.00,141.25,454
90.00,30.00,60.00,141.32,485
90.00,30.00,60.00,121.38,517
90.00,30.00,60.00,121.44,547
90.00,30.00,60.00,121.50,578
90.00,30.00,60.00,121.56,610
90.00,30.00,60.00,121.62,641
90.00,30.00,60.00,121.68,672
90.00,40.00,50.00,121.74,703
90.00,40.00,50.00,101.79,735
90.00,40.00,50.00,101.84,765
90.00,40.00,50.00,101.89,797
90.00,50.00,40.00,101.94,828
90.00,50.00,40.00,81.98,859
90.00,50.00,40.00,82.02,888
90.00,50.00,40.00,82.06,919
90.00,50.00,40.00,82.10,949
90.00,50.00,40.00,82.14,978
90.00,50.00,40.00,82.18,1009
90.00,50.00,40.00,82.22,1040
90.00,50.00,40.00,82.26,1072
90.00,50.00,40.00,82.30,1102
90.00,50.00,40.00,82.34,1134
90.00,50.00,40.00,82.38,1165
90.00,60.00,30.00,82.42,1197
90.00,60.00,30.00,62.45,1227
90.00,60.00,30.00,62.48,1259
90.00,60.00,30.00,62.51,1290
90.00,60.00,30.00,62.54,1321
90.00,60.00,30.00,62.57,1352
90.00,60.00,30.00,62.60,1384
90.00,60.00,30.00,62.63,1415
90.00,60.00,30.00,62.66,1445
90.00,60.00,30.00,62.69,1477
90.00,60.00,30.00,62.72,1508
90.00,70.00,20.00,62.75,1540
90.00,70.00,20.00,42.77,1570
90.00,70.00,20.00,42.79,1602
90.00,70.00,20.00,42.81,1633
90.00,70.00,20.00,42.83,1665
90.00,70.00,20.00,42.85,1695
90.00,70.00,20.00,42.87,1727
90.00,70.00,20.00,42.89,1758
90.00,70.00,20.00,42.91,1789
90.00,70.00,20.00,42.93,1820
90.00,70.00,20.00,42.95,1852
90.00,70.00,20.00,42.97,1883
90.00,70.00,20.00,42.99,1914
90.00,70.00,20.00,43.01,1945
90.00,70.00,20.00,43.03,1976
90.00,70.00,20.00,43.05,2008
90.00,70.00,20.00,43.07,2038
90.00,70.00,20.00,43.09,2070
90.00,70.00,20.00,43.11,2101
90.00,70.00,20.00,43.13,2132
90.00,70.00,20.00,43.15,2163
90.00,70.00,20.00,43.17,2195
90.00,70.00,20.00,43.19,2226
90.00,70.00,20.00,43.21,2257
90.00,70.00,20.00,43.23,2288
90.00,70.00,20.00,43.25,2320
90.00,70.00,20.00,43.27,2351
90.00,70.00,20.00,43.29,2382
90.00,70.00,20.00,43.31,2413
90.00,70.00,20.00,43.33,2444
90.00,70.00,20.00,43.35,2476
90.00,70.00,20.00,43.37,2506
