223.39,280.00,-56.61,-132.86,4440
220.78,280.00,-59.22,-119.27,4476
218.22,280.00,-61.78,-123.77,4513
215.63,280.00,-64.37,-130.09,4549
213.03,270.00,-56.97,-134.48,4586
210.34,270.00,-59.66,-120.94,4622
207.71,270.00,-62.29,-125.76,4659
204.99,270.00,-65.01,-130.35,4695
202.33,270.00,-67.67,-135.30,4731
199.58,270.00,-70.42,-142.01,4767
196.98,260.00,-63.02,-147.07,4804
194.21,260.00,-65.79,-131.56,4840
191.44,260.00,-68.56,-138.69,4877
188.73,260.00,-71.27,-143.85,4914
185.95,250.00,-64.05,-148.74,4950
183.24,250.00,-66.76,-133.94,4986
180.45,250.00,-69.55,-140.85,5022
177.81,250.00,-72.19,-146.08,5059
175.02,250.00,-74.98,-150.70,5095
172.31,250.00,-77.69,-157.93,5132
169.53,250.00,-80.47,-162.85,5168
166.83,250.00,-83.17,-168.05,5204
164.06,250.00,-85.94,-172.94,5240
161.30,250.00,-88.70,-180.10,5277
158.70,250.00,-91.30,-185.22,5314
155.96,250.00,-94.04,-189.72,5350
153.31,250.00,-96.69,-194.77,5387
150.60,250.00,-99.40,-201.48,5423
147.97,250.00,-102.03,-206.42,5460
145.22,250.00,-104.78,-211.02,5497
142.56,250.00,-107.44,-218.13,5535
139.92,250.00,-110.08,-222.88,5572
137.23,250.00,-112.77,-227.55,5610
134.64,250.00,-115.36,-234.41,5648
132.00,250.00,-118.00,-238.90,5685
129.46,250.00,-120.54,-245.58,5723
126.87,250.00,-123.13,-249.87,5760
124.39,250.00,-125.61,-254.33,5797
121.87,250.00,-128.13,-255.00,5834
119.51,250.00,-130.49,-255.00,5872
117.05,250.00,-132.95,-255.00,5910
114.63,250.00,-135.37,-255.00,5947
112.31,250.00,-137.69,-255.00,5985
109.96,250.00,-140.04,-255.00,6022
107.72,250.00,-142.28,-255.00,6060
105.45,250.00,-144.55,-255.00,6096
103.29,250.00,-146.71,-255.00,6134
101.16,250.00,-148.84,-255.00,6171
99.02,250.00,-150.98,-255.00,6208
97.04,250.00,-152.96,-255.00,6245
95.05,250.00,-154.95,-255.00,6281
93.16,250.00,-156.84,-255.00,6318
91.25,250.00,-158.75,-255.00,6353
89.45,250.00,-160.55,-255.00,6390
87.69,250.00,-162.31,-255.00,6426
85.98,250.00,-164.02,-255.00,6463
84.27,250.00,-165.73,-255.00,6499
82.66,250.00,-167.34,-255.00,6536
81.06,250.00,-168.94,-255.00,6572
79.51,250.00,-170.49,-255.00,6608
78.05,250.00,-171.95,-255.00,6645
76.64,250.00,-173.36,-255.00,6681
75.29,250.00,-174.71,-255.00,6718
73.96,240.00,-166.04,-255.00,6754
72.71,240.00,-167.29,-255.00,6791
71.49,240.00,-168.51,-255.00,6827
70.36,240.00,-169.64,-255.00,6863
69.26,240.00,-170.74,-255.00,6899
68.27,240.00,-171.73,-255.00,6936
67.28,240.00,-172.72,-255.00,6973
66.36,240.00,-173.64,-255.00,7009
65.51,240.00,-174.49,-255.00,7046
64.71,240.00,-175.29,-255.00,7081
63.99,240.00,-176.01,-255.00,7118
63.30,240.00,-176.70,-255.00,7154
62.72,240.00,-177.28,-255.00,7191
62.16,240.00,-177.84,-255.00,7227
61.68,240.00,-178.32,-255.00,7264
61.24,240.00,-178.76,-255.00,7300
60.88,240.00,-179.12,-255.00,7336
60.58,240.00,-179.42,-255.00,7373
60.34,240.00,-179.66,-255.00,7409
60.17,240.00,-179.83,-255.00,7446
60.05,230.00,-169.95,-255.00,7482
60.00,230.00,-170.00,-255.00,7519
60.02,230.00,-169.98,-255.00,7555
60.09,230.00,-169.91,-255.00,7591
60.23,230.00,-169.77,-255.00,7627
60.42,230.00,-169.58,-255.00,7664
60.69,230.00,-169.31,-255.00,7700
61.01,230.00,-168.99,-255.00,7737
61.40,230.00,-168.60,-255.00,7774
61.86,230.00,-168.14,-255.00,7810
62.37,230.00,-167.63,-255.00,7846
62.95,230.00,-167.05,-255.00,7882
